dir_name reference keyframe no_semantic origin
rgbd_dataset_freiburg1_desk 0.019737 0.020537 0.021019 0.019739
rgbd_dataset_freiburg1_desk 573 496 501 573
rgbd_dataset_freiburg1_floor 0.033115 0.031381 0.028640 0.030056
rgbd_dataset_freiburg1_floor 1065 1041 1017 1087
rgbd_dataset_freiburg1_xyz 0.011350 0.013363 0.012917 0.010843
rgbd_dataset_freiburg1_xyz 790 784 786 790
rgbd_dataset_freiburg2_360_kidnap 0.135330 0.188351 0.081014 0.079486
rgbd_dataset_freiburg2_360_kidnap 751 560 749 754
rgbd_dataset_freiburg2_desk 0.207306 0.018023 0.021354 0.013807
rgbd_dataset_freiburg2_desk 2210 965 972 2223
rgbd_dataset_freiburg2_desk_with_person 0.072214 0.024953 0.028069 0.008444
rgbd_dataset_freiburg2_desk_with_person 3407 994 1231 3631
rgbd_dataset_freiburg3_long_office_household 0.031409 0.019562 0.023520 0.013252
rgbd_dataset_freiburg3_long_office_household 2486 1573 2484 2486
rgbd_dataset_freiburg3_long_office_household_validation 0.024526 0.022992 0.022891 0.009767
rgbd_dataset_freiburg3_long_office_household_validation 2580 1672 1758 2580
rgbd_dataset_freiburg3_nostructure_texture_far 0.049115 0.068997 0.039461 0.026620
rgbd_dataset_freiburg3_nostructure_texture_far 399 390 386 398
rgbd_dataset_freiburg3_nostructure_texture_far_validation 0.113631 0.506566 0.047455 0.021409
rgbd_dataset_freiburg3_nostructure_texture_far_validation 450 391 390 450
rgbd_dataset_freiburg3_nostructure_texture_near_withloop 0.017833 0.015803 0.013552 0.011160
rgbd_dataset_freiburg3_nostructure_texture_near_withloop 1636 1635 1636 1636
rgbd_dataset_freiburg3_nostructure_texture_near_withloop_validation 0.033876 0.021017 0.027055 0.014544
rgbd_dataset_freiburg3_nostructure_texture_near_withloop_validation 1744 1461 1743 1744
rgbd_dataset_freiburg3_sitting_halfsphere 0.046777 0.032395 0.040610 0.014793
rgbd_dataset_freiburg3_sitting_halfsphere 1008 580 748 1069
rgbd_dataset_freiburg3_sitting_halfsphere_validation 0.037467 0.019996 0.017068 0.016557
rgbd_dataset_freiburg3_sitting_halfsphere_validation 944 656 625 944
rgbd_dataset_freiburg3_sitting_xyz 0.022070 0.053352 0.014697 0.008863
rgbd_dataset_freiburg3_sitting_xyz 1216 1102 1216 1216
rgbd_dataset_freiburg3_sitting_xyz_validation 0.025154 0.021190 0.019098 0.009577
rgbd_dataset_freiburg3_sitting_xyz_validation 829 665 825 829
rgbd_dataset_freiburg3_structure_texture_far 0.013246 0.012438 0.015473 0.009131
rgbd_dataset_freiburg3_structure_texture_far 904 904 904 904
rgbd_dataset_freiburg3_structure_texture_far_validation 0.014992 0.013975 0.015438 0.010580
rgbd_dataset_freiburg3_structure_texture_far_validation 759 759 759 759
rgbd_dataset_freiburg3_structure_texture_near 0.012141 0.012718 0.015698 0.010682
rgbd_dataset_freiburg3_structure_texture_near 1054 1054 1054 1054
rgbd_dataset_freiburg3_structure_texture_near_validation 0.018283 0.011940 0.013465 0.009316
rgbd_dataset_freiburg3_structure_texture_near_validation 1036 1036 1036 1036
rgbd_dataset_freiburg3_walking_halfsphere 0.130880 0.063607 0.104595 0.178241
rgbd_dataset_freiburg3_walking_halfsphere 596 392 583 1008
rgbd_dataset_freiburg3_walking_halfsphere_validation 0.333707 0.053591 0.118822 0.157652
rgbd_dataset_freiburg3_walking_halfsphere_validation 762 714 606 898
rgbd_dataset_freiburg3_walking_xyz 0.275468 0.033594 0.209494 0.278164
rgbd_dataset_freiburg3_walking_xyz 679 531 689 650
rgbd_dataset_freiburg3_walking_xyz_validation 0.331188 0.038746 0.070189 0.300308
rgbd_dataset_freiburg3_walking_xyz_validation 772 701 863 897
